municipality,direct,true,hhsize,age_hh,male_hh,piped_water,no_piped_water,no_sewage,sewage_pub,sewage_priv,electricity,telephone,cellphone,internet,computer,washmachine,fridge,television,share_under15,share_elderly,share_adult,max_tertiary,max_secondary,share_female
1011011,.079999998,.10706932,-.29790896,-2.6175961,.7153669,.71710676,-.70561403,-.78388321,1.3531537,-1.3445719,.60938603,-.49931589,1.180379,.4576762,.74166465,1.0390092,.84851205,.72437024,1.1876034,-1.8976792,-.025853226,-.023662236,1.2171671,-.14506772
1021001,.03164557,.07202287,-1.4171346,-1.3772913,-1.4038732,-.061373278,.067672729,-.16649228,.026210785,-.023094086,-.12199987,.83435607,1.2061341,1.9071468,1.8483437,.93127322,.82261348,.56405228,-.73690945,-1.1916715,1.6185651,.89780527,-.30019087,-1.2387016
1021002,.12709832,.051476378,-1.5396919,-1.3291001,-.77753556,.59809709,-.59113699,-.54879946,.95637846,-.95019943,.4298982,1.3456811,1.2769192,2.3721235,2.238236,1.2236156,1.1196642,.78547078,-.87810934,-1.3279117,1.8664685,1.1040363,-.13775107,-1.3008257
1021003,.03773585,.053013019,-1.1946247,-1.3187624,-1.178701,.13567817,-.13752466,-.64450818,.55361938,-.54975832,-.27544928,.66581607,1.2312584,2.2458541,2.1205339,1.1703738,.94274217,.66754204,-.67687136,-1.3259755,1.6443987,.67595917,.23804,-1.3553206
1021004,.010512483,.043896709,-1.353472,-1.5474367,-1.153808,.54075015,-.53483874,-.66363633,1.1045713,-1.098668,.66924918,1.2637087,1.2174276,2.5193615,2.3978999,.86736262,.97293389,.6588707,-.92679423,-1.5815398,2.0881791,.83609957,-.0052503385,-1.2423074
1021005,,.062703788,-1.091609,-1.2058591,-1.1212026,-.086474925,.064660005,-.66396981,.094413713,-.094851814,.37765595,.63381386,1.1426153,2.2236981,1.8180587,.8167842,.98186618,.5627026,-.68889606,-1.0704346,1.4858528,.24670985,.68574542,-1.488066
1031001,.066445179,.098266453,-1.5522323,-.40775692,-.48133048,.33390158,-.33991697,-.43844929,.33178961,-.3342171,-.5622021,.50660741,1.0301522,.91961879,.87767571,.50590998,.70507729,.32734454,-.89140773,-.34435704,1.2236334,.39351162,.18262994,-1.0507861
1031002,0,.047504902,-1.7137775,-1.8958555,-.3770082,.48648116,-.57197696,.21052624,-.60328519,.58329242,-.26011544,.73497081,.96092337,1.1101488,1.6052684,.23454627,.26732245,.146613,-.78832251,-1.0438187,1.5739976,-.097851321,.0246723,-2.8841691
1031003,.052380953,.045514133,-1.7907832,-1.6377593,-.20110714,-.15501395,.16603871,-.61031449,.51999605,-.51203698,-.84459049,.91873246,1.3437586,1.8539188,2.1878827,.43482554,.79353154,.35135183,-.87532735,-1.3938324,1.9036419,1.6860085,-1.0544094,-1.1400445
1031008,.022146508,.02978435,-1.7591541,-2.4241915,-.55944687,.20074689,-.21351828,-.75102562,.7864663,-.79241252,.46495265,1.1989105,1.3822391,2.6218581,2.2272346,.44486842,.91930151,.47724411,-1.0403031,-1.9931233,2.4715283,1.6565655,-.72977859,-2.280555
1031009,0,.062402494,-1.8285632,-1.2081933,-1.310403,.1040158,-.14827339,-.52652365,.67577755,-.68976247,-.78107059,.74004841,1.0097886,1.6325669,1.7526774,.6511761,.51860368,.11674946,-.86571902,-1.2407357,1.794124,.97601801,.0013740601,-2.1116734
1041001,.19915192,.23662686,.14626005,.092777118,.9241392,.36834496,-.35703939,.37830129,-1.8565974,1.855642,.37727478,-.76084578,.12817787,.025637135,.20983782,.50996566,-.27881208,.27900028,-.5113458,.17390634,.45800623,1.4659859,-.57163268,.096737787
1041002,.13448545,.15262842,-1.0595598,-.346443,-1.0679214,.69597173,-.68449032,-.52973789,-1.6421095,1.6419338,.12640841,.37384117,.80924594,1.5074296,1.3723519,1.0053411,.63446057,.41502094,-1.2637304,-.17506938,1.5185975,1.8282219,-1.6302963,-.14742193
1041003,.078006305,.10127047,-1.2803615,-1.2242602,-.59830374,-.31776759,.31893584,-.69015217,-1.5503259,1.5495689,.09862949,.50704575,1.1025742,1.8236761,1.469215,.97604316,.63931924,.22546588,-1.2891378,-1.0259185,2.0980029,1.5229232,-1.2363447,-.94151962
1041004,.28544229,.2432248,-.62798566,-.69995022,.081864305,.34588602,-.33706367,.0034413689,-1.8528789,1.8519901,-.30691093,-.67150789,.078492209,-.34401041,-.45173237,.64600635,.010105469,-.20124534,-.12666622,-.06505242,.18438825,-.25303492,.18776403,-1.0666826
1041005,.2082185,.19838224,.20685847,-.11823799,.89804941,.57946086,-.56804198,.32795832,-1.861388,1.8604711,-.029975755,-1.1849551,.10827802,-.56379414,-.043488406,.71790105,-.23772262,.12227258,-.2117396,-.089498244,.30312306,1.6287665,-1.5051869,-.16077361
1041006,.43573296,.48672262,.82570612,-.42628497,1.8898656,.56106633,-.55357867,1.0315924,-1.8568221,1.8559262,-.55476731,-.9878794,-1.2291031,-.82339466,-.73506725,.57641655,-.56437004,-1.4879059,.55320036,.50122768,-.93820715,-.44113094,-.72046393,-1.1781764
1041007,.36915603,.34411129,-.75323313,.096153952,.82443762,-1.5892071,1.5994623,-.63015521,-1.8381321,1.8372911,-.098311424,-.8942377,.42995054,-.74265784,-.46078047,.73672211,.31251448,-.30469042,-.26908734,.63809502,-.12764421,-.315108,.57472998,-.93593001
1041008,.210198,.23143351,-.28335264,-.2895321,.46650627,.60873061,-.59729606,1.0248384,-1.8564838,1.8555702,.1639698,-1.4282818,.21540767,1.2477392,-.49738151,.65150613,-.11158954,.33435419,-.53800035,.13218701,.50439185,.25299877,.52315688,-1.5035154
1041009,.40000129,.33672115,-.34237602,-.96130282,-.58123946,.52731001,-.52137125,-.05294871,-1.8382117,1.8373305,-.5958606,-.5858317,.12588887,-.57667047,-.44701594,.34616569,-.043781105,-.42192653,.35479906,-.76172692,.12519759,-.24810398,.37131786,-.50531006
1041010,.51262617,.44019502,-.026185121,-1.917285,.24328512,-1.3512439,1.3616267,.56667972,-1.8405583,1.8396672,-.92806607,-1.388327,-.64011192,-1.0805196,-1.0125434,.14670871,-.6039843,-1.2519835,1.0110891,-1.3549017,-.22105096,-.87748653,1.5074401,-1.4786966
1041011,.35308403,.44748428,-.20113467,-1.0675273,.14651197,-.40308496,.40523526,.19613254,-1.850094,1.8491762,-2.2235844,-.78970951,-1.4714912,-.93320167,-.73994893,.058836941,-.46325245,-1.1538023,.64290887,-.67092031,-.25178573,-.78759444,.48536798,-1.3994775
1051002,0,.1014239,-1.0241793,-1.6611097,-.51357871,.55781412,-.58424234,-.67007154,.93933624,-.94706053,.12984592,.080267623,1.0868151,.39120167,.52077913,1.1165495,1.027441,.73432314,-.36310348,-1.5845636,1.4634147,-.32847464,1.2982291,-1.4618953
1051003,0,.07113906,-.95619828,-.93200195,-.0020553053,.79209816,-.78594452,-.63717967,.86253208,-.85612351,.78655559,1.7112957,.88963705,1.3494769,1.0641717,1.5210485,1.2131832,.85565698,-.37689361,-1.0044992,1.0904664,-.33354789,1.6091172,-.58765501
1051004,.17985612,.13300027,-.67202741,.35331136,1.3576035,.4440068,-.43266061,-.58196211,-.44092208,.44080341,.64270294,.2713052,.34876522,.48363352,.10275865,1.2070751,.89251351,.68335807,-.32900596,.38281348,.10624091,-.31526321,.29624662,-1.1250355
1051006,.035294116,.062195715,-.77008301,-1.1787919,1.6434211,.40637437,-.40461159,-.51626945,-1.1390064,1.1374335,.6417793,.69413674,.73666322,.68488371,.5180499,1.235775,1.1600431,.76078677,-.13132368,-1.3561091,1.0587294,.10283277,1.4344498,-.12790062
1051007,.2857143,.15773101,-1.061632,-.54706407,1.2227309,.20204461,-.19779234,-.091878049,.42383194,-.4264009,-.22727886,-.13796914,.51718837,.19944635,.39765835,.86411774,.76657802,.36083609,-.0083538545,-.22599807,.14658092,-.14888975,.51250958,-1.119714
1051008,,.15490943,-.7109496,-.50455606,1.8359727,-.32171389,.3326492,.21830663,-1.8534967,1.8526008,.66595376,-.29921132,.74543518,-.4459689,-.52966154,1.1615586,1.0691932,.64590263,-.036806908,-.44221386,.32324314,-1.4189578,2.5310562,-1.7952138
1051009,.25675675,.19076923,-.084612168,-.22746813,.16429728,.57849741,-.57125407,-.51612926,-.19901603,.20060042,.68499607,-.48624343,.69937783,.13957499,.23435028,.98904681,.98467386,.75694686,-.091756999,-.63564044,.52495891,.41826767,.65650266,-.41604343
1051010,0,.043416951,-.58560467,-.92661905,1.0178696,.64190453,-.63638973,-.64963835,.87065923,-.8696838,.7948643,1.1755372,1.1251668,1.3845158,1.2514966,1.2652849,1.1791673,.86544132,-.10563587,-1.3784218,1.0481061,.74214351,.62759,-.71261388
1051011,.31034485,.17439459,-.42179799,.19892395,1.6776754,.61727691,-.61347234,-.33696306,-.39908215,.40078184,.14989851,-.791242,.052663162,-.58362484,-.6787858,.87105006,.81228107,.33674124,-.010156299,1.2186456,-.79860801,-1.0952668,1.5320901,-2.0293841
1051014,,.18830571,-.54440993,-.51291823,-.38655636,-.16321878,.155745,.030741962,-1.8567269,1.855738,-.53397954,-1.0490227,.98797739,-.55243301,-.76888126,1.0370222,1.0189357,.47735891,-.50617963,-.6199314,.93146873,-1.346971,1.2820798,-2.2613361
1051017,.2016129,.13678543,-.07218162,-.39484102,-.047372177,.5098893,-.5193814,-.47710329,.42568836,-.43120998,.50041842,-.026617654,.78563273,.56223571,.4910301,.8932333,.97095817,.8061623,.10677266,-.52641666,.24133481,.36369902,.72632301,-.41045064
1051018,.050724637,.046688929,-1.0117197,-.82730174,.84917098,.47263739,-.47816786,-.6019302,.85989207,-.87062526,.55338007,1.585622,1.1115921,1.8570492,1.7492836,1.2600014,1.141829,.80214316,-.45593607,-.97113681,1.1618716,1.6575439,-.64669704,-.44184017
1051019,,.093271799,-.83960634,-.8568539,.95842409,.72301996,-.71152407,-.048480343,-.10931071,.11684748,.79236114,1.2745351,.84860027,1.3863289,.96077824,1.4386595,1.2046915,.86476076,-.21771331,-.71065784,.72242117,-.26926243,1.5495481,-1.3017594
1051020,.069182388,.12576865,-.65561479,-.56128252,.64706928,.59427965,-.59430909,-.25678056,.67014962,-.68496186,.35519144,1.1338683,.60183215,1.0553925,.73928303,1.3658667,1.0943406,.69607288,-.39492339,-.85816652,1.0040985,.0032458722,1.1073928,-1.2921108
1051021,,.077212803,-1.0379426,-.23991907,1.4926211,.6849975,-.70431727,-.48077285,-.48300573,.47885084,.60458905,-.62911314,1.0055704,-.47364047,.41706327,1.2287037,1.2066809,.67203867,-.82082719,-.025787299,.9040423,-.3235442,1.9097837,-.69092435
1051022,0,.11253197,-.67921329,-1.837736,1.2037265,.69237936,-.69055015,-.63041145,.90566581,-.90384835,.5967347,.92670548,.97940147,1.2166238,1.0613884,1.3992014,1.1250718,.78487474,.1826615,-1.7431267,.95304799,-.39893511,1.4846585,-1.3227944
1051023,,.14925677,-.59894472,-.20645817,1.9155093,-.21886572,.22985622,-.091391146,-.38562611,.37495485,-.29809517,-.28601176,-.01117948,-.31914115,.13997392,.53789759,.25078645,.075261027,.14440627,.16739008,-.27764472,-.6015507,.533503,-2.6130755
1051024,,.18952051,-.62105662,-.13114876,.51723796,.28911391,-.28217462,-.39785063,.66282129,-.65589094,.66026223,.53444636,.57738853,.61053783,.66842479,.84175712,.94293451,.64866388,-.48083737,-.34272787,.75766438,.18741839,1.0384471,-1.0617604
1051025,.087628864,.10587538,-.77852029,-1.7068275,.60232365,.64836287,-.67467701,-.61706781,1.0131338,-1.0251999,.60023165,.73378563,1.1641018,1.5549766,1.2286857,1.2212518,1.0683905,.81549299,.051429406,-1.4336071,.90066999,.34638017,.76754183,-1.2961541
1051026,,.084683955,-.91636133,-.27318662,2.0856206,.63588065,-.62443155,-.38616711,-1.8402348,1.8389833,.62406689,.96977997,.097255625,.076006271,-.25531992,1.165526,1.1853222,.65763664,-.61031604,-.26357177,.86025685,-.83212942,1.140067,-2.9327776
1051027,0,.045241937,-1.1322976,-2.2403615,.77998739,.66805381,-.6596334,-.69913143,1.1236526,-1.1401665,.56155241,.76723665,1.1051469,1.8409935,1.7171423,1.0787344,.98975474,.69345635,-.16455305,-1.8154874,1.4074714,1.0480355,-.055052675,-1.4840926
1051028,.17808218,.061192468,-1.222847,-.85587049,.55086291,.62420011,-.62841225,-.64511675,.99236178,-1.0017956,.62414879,2.1517844,.9340679,2.0129299,2.0230896,1.4424821,1.1623133,.78410453,-.70284289,-1.1052433,1.5177754,.91990322,-.10614121,-.90435952
1051029,,.058794945,-1.0180594,-.54428548,2.0019135,.78965533,-.77812368,-.28159624,-1.8475952,1.8467174,.7514745,-.44265634,1.2769201,-.29997334,.41632482,1.4304196,1.2514348,.84997863,-.39456558,.037128143,.42127517,-.68488121,1.6407733,-.49894336
1051030,.041139241,.053580616,-.47227266,-.9146716,.563209,.4738842,-.46351361,-.6992805,1.0606767,-1.0555511,.59906638,1.3184549,.95984071,2.0602338,1.8929424,1.3514892,1.0625817,.80654144,-.21899489,-.96350712,.89375192,1.3739263,-.36856845,-.40780398
1051031,0,.064840049,-1.3150829,-.9037562,.9918316,.66476506,-.66392285,-.6498844,.38625261,-.38582295,.73951858,.77809,1.0749588,.99887967,1.3807943,1.4373469,1.1973554,.79038155,-.74558234,-.62283993,1.2432016,.74949992,.50207156,-.2851854
1051032,0,.089392848,-1.2354783,-.056803059,-.090984993,.66020811,-.69358146,-.54967761,.85278136,-.86859739,.47280917,1.9693867,.76399696,1.7484952,1.4728014,1.4588021,1.1142306,.79371935,-1.0029761,-.31631324,1.301457,.80371064,.12581022,-.25686622
1051033,.16949153,.26399469,.37400353,.29213506,-.30997297,.25880629,-.25846961,-.27871463,-.13041312,.13158864,.55749637,-.50626004,.62370265,.23955505,.063788012,.81815225,.95469648,.74484295,.26064092,-.29020575,-.088290513,-.016489206,1.0181483,-.34737515
1051034,.074999996,.074195996,-.56448275,-1.7196273,2.4123697,.49179146,-.50082505,-.65647924,.40375495,-.40755838,.37716287,-.38843063,.47893912,-.032819513,1.0357063,1.2924993,.90130717,.5640378,.63315523,-1.6811538,.4431076,-.41696337,1.8861914,-1.7415562
1051035,.090909094,.083670646,-1.0236868,-.92203903,-.36486375,.68839389,-.68590057,-.72660077,1.2276027,-1.238538,.74526197,1.3228976,1.0483629,1.8276118,1.6813437,1.1154785,1.0759007,.85202658,-.46584347,-1.0231782,1.2081488,1.9499323,-1.1728996,-.02277959
1051036,.2781955,.30910611,.45178661,.20385355,.9451229,.080640823,-.069489613,-.090555497,-1.188373,1.1890527,.55837494,-.58348674,-.13318665,-.95171505,-.97809726,.53641135,.80282676,.64054137,.38368297,.0030852556,-.42035469,-1.0527841,1.6327221,-.94630581
1051037,,.1313673,-.99566549,-1.4083511,1.692174,.68258703,-.68253016,-.1739739,-1.3816658,1.3758606,.47632068,.31060505,.83143562,.19298428,-.10435233,1.3179848,1.0604265,.60825938,-.13707866,-1.0824265,.87134689,-1.2272063,2.252305,-2.5230298
1051038,,.13743736,-1.0581933,-.7815913,1.1621757,.70592117,-.6944344,-.41060859,.76048732,-.75230062,.65131998,1.0828547,.68070543,.81649947,.69537109,1.3064117,1.1139543,.72816145,-.26254943,-.76581538,.78877997,-.46238595,1.1830901,-1.292096
1061001,.16551724,.19985859,-.62991154,.52464312,-.7031222,.48292559,-.48098302,-.69338614,.27829212,-.27589875,.60230511,.36497998,.5772903,.093230315,.13094851,.4900426,.64232785,.55248666,-.45467883,.69526976,.02359863,-.21552429,.070574842,-1.2627501
1061002,.098265894,.058237441,-1.5425655,.14104165,-.91956097,.6331737,-.62933373,-.76531887,1.166449,-1.1573274,.3229385,1.6721381,1.0187227,2.3813615,2.3333683,.92148912,1.0082622,.69599181,-1.3914087,.15733269,1.4371876,2.1591651,-1.8846873,-.2792367
1061003,.065359473,.091097549,-.71441692,.46036065,-.77541006,.69447482,-.68299425,-.68278944,.83273345,-.82429838,.46757695,.89392871,.39813527,1.1681999,1.1634419,.20317172,.51942551,.57912546,-.92089587,.62934738,.59611398,.54435325,-.079458654,-.47860599
1061004,.042735044,.10629816,-.89318854,.26162741,-.67846042,.72067684,-.71947879,-.75274622,1.1198249,-1.1155039,.65006912,.72391915,.71248871,.86227119,.93398935,.52194083,.85341781,.66651833,-.95877373,.14826274,.93516129,.24669449,-.022268198,-1.1304833
1061005,.084337354,.073371284,-.91086388,.58317184,.88235998,.75929517,-.74777979,-.78475565,1.1913326,-1.1886507,.68851411,1.3263595,.70718986,1.3030912,1.4925687,1.0801693,1.0185426,.73262191,-.97364914,.15023755,.98241144,.88042778,-.43376935,-1.094756
1061006,.38095239,.16816208,-1.1708472,.56346291,-.4195886,.6884284,-.67695111,-.63860738,.74761832,-.75008458,.3953205,-.16589223,-.31947061,-.35880169,-.20446184,.3352035,.71057743,.27346602,-.71623838,.67598689,.34191385,-.17161004,.027464092,-1.1717744
1061007,.074803151,.056718435,-1.3132595,-1.3135808,-.44324419,.60751104,-.60519648,-.7570827,.69742548,-.69352871,.62005901,.95360202,1.1192352,1.5708514,1.4680651,.71837866,.95459193,.56793821,-.83836222,-1.3129555,1.8074688,1.2247488,-.64875132,-1.2139744
1061008,.12857142,.11909559,-.76076257,-.59796256,.84854031,.51709735,-.5233478,-.6782369,.62491965,-.6625312,.59749281,.25042197,.79598981,-.092368312,.64708108,.79512119,.90025926,.56332475,-.46130288,-.87963855,1.0847863,.029853692,.99603653,-2.1405225
1061009,.1589404,.1134544,-.55625582,-.56375623,-.30053604,.5646103,-.55319941,-.76536036,.97890913,-.97276574,.28281242,.39022043,.47391519,.30291572,.21733589,.11751109,.55948538,.41483003,-.26552588,-.48335508,.6169824,.1108452,-.23415436,-1.2892774
1061010,.073593073,.046437994,-2.0736096,-1.4419125,-1.1942728,.6955266,-.68660587,-.79834586,1.2617197,-1.2610838,.67402542,1.4756547,1.2922248,2.7697935,2.8559239,1.0100393,1.095843,.76914674,-1.2616978,-1.253536,2.233876,3.0585802,-2.6220412,.17869189
1071001,.24444444,.4679864,.9044252,.024391603,.55500484,.2092787,-.19805847,-.58350247,-.087544888,.08890231,.35530055,-1.1103997,.17369439,-1.0278355,-.9556393,-.62011731,-.013354726,-.91232073,1.2887504,-.44194049,-1.1090922,-.72436291,.84399253,-.53297025
1071002,.39506173,.40573961,.011768533,-.053266916,.56566072,.56056863,-.56401253,-.51859641,.88583791,-.88025099,.07975693,-1.2067431,-.081147373,-1.0177345,-.81472862,.019668847,.24518715,.26513377,.22513728,-.15965129,-.12843102,-.21676113,-.36149898,.1191351
1071003,.45348838,.4281413,-.37654465,-.18182246,.5715152,-1.907536,1.90942,-.22087847,-.88684559,.88824761,-.084774397,-.81953186,-1.4272867,-.99163449,-1.1167642,-.33498409,.0089053428,-.82034475,-.0037432043,.051286023,-.038885403,-.85191053,-.10561205,-1.5694215
1071004,.68686867,.67619294,1.1365479,-2.3273137,1.0406687,-.46938238,.47215655,.50331163,.34585571,-.34499204,-1.1953069,-1.3716228,-1.219254,-1.0296917,-.81638896,-1.4508274,-1.8119268,-1.9432551,1.629908,-1.7556551,-.62396985,-.7675066,-.11688855,-.094571158
1071005,.70212764,.65604514,-.050388586,-1.7215124,2.5603805,-1.0439192,1.0467858,-.29883462,.0057110661,.00095855852,-1.7148384,-1.5291507,-3.0725555,-1.1621805,-1.4866,-2.0231588,-2.0417392,-3.2489369,.79685092,-1.3488827,.040213536,-1.1563795,.30772418,-1.2605128
1071006,,.73008269,.79438221,.10158417,.76873302,.51287282,-.50695664,-.61635947,-.11832348,.1172782,-.072513215,-.69249654,-.52780908,-1.0879897,-.7727108,-.74237585,-.58328587,-1.102237,.98033202,-.12905432,-.99043232,-.68749899,-.8859542,-.16792451
1071007,,.84450448,1.1462964,-1.1642891,1.4974233,-.93457878,.93023336,.01523679,.40435526,-.40445003,-.80834806,-1.5768279,-2.3148561,-1.2452165,-1.5166441,-2.4771221,-3.6017833,-4.034615,1.4637567,-.45503631,-1.2928163,-1.3792366,-2.9649601,2.2325826
1071008,.7119565,.65034634,1.3711138,-.54541051,-.03474617,.42247248,-.42625806,-.60891122,.2474478,-.24611492,-.69120592,-1.2506776,-.735304,-.71196663,-1.0728587,-1.0796679,-.58383977,-.68082297,1.0601944,-1.1372912,-.42247784,-.68060368,.13240215,.36566511
1071009,.46268657,.29880953,-1.0465846,.31208169,-1.2969959,-.72191817,.73263878,-.56722426,.31599453,-.31722406,.061282314,-.50405556,.38534924,-.34309044,-.49690545,.016959425,.4750289,.20152937,-.68231195,.53377986,.39893377,.35956848,-.52457803,.39241683
1071011,,.76314884,1.7379754,.34535122,1.3464539,.025353925,-.01423238,-.014988456,-.46764514,.47109988,-.30970085,-.7993502,-1.1812409,-1.0986754,-1.056839,-.98860884,-.93003809,-1.1842043,1.1395823,-.52991122,-.90773255,-.58666182,.73733008,-1.1204559
1071012,.36585367,.25654712,.57043833,-1.4366843,.5768742,-.98668063,.9897998,-.47250697,.54528815,-.5408321,-.0016708263,-1.0160636,.55757451,.029432591,-.15131909,-.022270212,-.085152283,.043503791,1.0185367,-.90243793,-.51065683,.48156896,-1.7867687,-.20726228
1071013,,.57609087,1.5021445,-1.5586828,.78865212,.051264595,-.040129147,-.48274156,.89266574,-.88670802,.20343125,-1.0192727,-.51716805,-.70633858,-.66320175,-1.3809577,-1.0981443,-.85839814,2.0770962,-1.3340287,-1.3816087,.088720508,-.15417531,.85537952
1071014,.91269839,.83807504,2.9947357,-2.0352385,2.1055341,.55003464,-.55443186,-.33751461,.33476838,-.33198425,.19695064,-1.4508837,-.96944267,-.79995829,-1.3632915,-2.1847546,-2.4659357,-2.7928929,2.8450682,-1.6923246,-2.0032382,-1.2175343,-.57134634,.62214136
1071015,,.53872603,.64845431,.81891739,-.3925679,.52785832,-.54227835,-.59228534,.2641561,-.26417351,.23938146,-1.0508062,-.064346984,-.81603128,-.70603007,-1.2655985,-.55314904,-.42216998,.25821191,.20039003,-.41368684,.0014975566,-.045140143,-.44672909
1071016,.41304347,.49989954,-.5310806,1.2192495,-.062886246,.12899995,-.15015043,-.38292506,-.78236598,.77969033,-.72402883,-.41888058,-.27505657,-.80363798,-.94996715,.035717085,.2809394,-.56985825,-1.0171007,.46545672,.80082846,-.1729673,-.049076241,-1.175832
1071017,.12359551,.39069927,.24043776,.3957307,.34184375,.056729298,-.045590919,-.30577174,-.029579824,.026747994,.27328354,-.62315989,.0096438983,-.6135447,-.3579025,-.19496958,-.031787921,.098239891,-.16535303,.35811502,-.065294445,.84186417,-1.2260004,-.30928174
1071018,.58823532,.76772547,.65404344,-1.2668781,1.9096643,.45023334,-.46444231,-.088927321,.70596844,-.70755863,-.36895999,-1.4868249,-1.2273632,-1.1897888,-1.0883092,-1.7492002,-1.8304496,-2.3911271,1.2781421,-.13819812,-1.3123095,-.77019435,.039959397,.3569876
1071019,.20353982,.31416136,-.18448877,-1.3174402,.39022139,-.49478543,.50005043,-.2234371,.095280826,-.092720836,.27190685,-.71796006,.24113825,-.41973343,-.26071268,-.2030945,-.22876565,.091330029,.40866759,-.96813273,.21016502,.39384851,-1.6090021,.96681339
1071020,.55263156,.6864683,.88671154,-.058562625,1.7333586,-.065839395,.072215155,-.1710594,.21154594,-.20826375,-.80850446,-1.0434853,-.97288936,-.72104585,-1.1567949,-.54163295,-.3893922,-.78976369,.61424726,-.47483858,-.34507853,-.79873157,-.23552376,-1.2722073
1071021,.58333331,.50345463,-.29878715,-.21808687,.23648129,.29593301,-.2909877,-.56847751,.71563655,-.70896935,-.27104741,-1.3115195,-1.1824548,-1.0743644,-.82117718,-1.1267674,-.43587598,-1.2612212,.43112156,-.20273469,-.32612035,.23661086,-.66674769,.48084864
1071022,1,.93308949,2.350544,-3.5872891,3.1318905,-3.4565861,3.4579163,3.9240375,-1.6254462,1.6243483,-5.1002159,-1.6040614,-3.0892003,-1.2559891,-1.6153764,-2.6139274,-3.7088425,-5.4917674,3.4271357,-2.024889,-2.4184277,-1.6911185,-3.1254878,-.95057625
1071023,.87813622,.83693212,2.0005109,-2.2733455,.78364497,-1.7910929,1.7924256,3.1755271,-1.4607831,1.4606982,.15281352,-1.3197987,-1.7376959,-1.2200075,-1.6100893,-2.5286734,-3.8055134,-3.3529465,2.9047632,-1.1208878,-2.4399705,-1.7381577,-5.1471601,1.8791329
1071025,,.66317993,.86738235,-.72009844,1.6113825,.058353309,-.047214054,-.35128024,.2089732,-.2038497,-.37202305,-1.2880085,-3.5657992,-1.1208649,-1.092278,-2.029614,-1.6531739,-2.445627,1.0407281,-.68701363,-.67191643,-.1547057,.29452315,-1.7848408
1071026,1,.87143338,3.8358321,-2.2030003,2.0503726,-.78706419,.7880078,1.3750609,-.90298676,.90235144,-.82574761,-1.445338,-2.1592302,-1.1835234,-1.5522869,-2.4891138,-3.4891815,-4.2634864,3.6527176,-1.6096444,-2.9295895,-1.482069,-3.1269233,-.0075809984
